                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   467         469           9.9006              1           1.53  
   468         470          9.88461              1           2.05  
   469         471          9.87603              1           2.57  
   470         472          9.86793              1           1.49  
   471         473          9.85999              1           1.47  
   472         474          9.84899              1           1.26  
   473         475          9.83714              1           1.37  
   474         476           9.8269              1           1.69  
   475         477          9.81326              1           1.77  
   476         478          9.79957              1           1.43  
   477         479           9.7864              1           1.47  
   478         480           9.7755              1           1.25  
   479         481          9.76519              1           1.39  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   480         482          9.75527              1           1.14  
   481         483          9.74198              1           1.59  
   482         484          9.72821              1           1.33  
   483         485          9.72007              1           1.03  
   484         486          9.71335              1           1.04  
   485         487          9.70539              1           1.11  
   486         488          9.69662              1           1.11  
   487         489          9.68766              1           1.23  
   488         490           9.6787              1           1.21  
   489         491          9.66628              1           1.35  
   490         492          9.65165              1           1.66  
   491         493          9.63544              1           1.58  
   492         494          9.62204              1            1.3  
   493         495          9.61261              1           1.15  
   494         496          9.60325              1          0.895  
   495         497          9.59266              1           1.13  
   496         498          9.58465              1           1.49  
   497         499          9.57849              1           1.17  
   498         500          9.57244              1          0.955  
   499         501          9.56564              1          0.852  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   500         502          9.55545              1           1.36  
   501         503           9.5453              1           1.28  

<a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'solver_stopped_premature','CSHelpWindow');">Solver stopped prematurely</a>.

fminunc stopped because it exceeded the iteration limit,
<a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'max_iter','CSHelpWindow');">options.MaxIter</a> = 500 (the selected value).

                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
     0           1        0.0989103                          0.12
     1           2        0.0554812              1          0.124  
     2           4        0.0375583       0.279534          0.166  
     3           5        0.0258174              1          0.047  
     4           6        0.0193285              1          0.035  
     5           7        0.0159594              1         0.0968  
     6           8        0.0122536              1         0.0251  
     7           9        0.0106575              1         0.0119  
     8          10        0.0086184              1         0.0248  
     9          11       0.00794682              1         0.0126  
    10          12        0.0065875              1        0.00862  
    11          13       0.00599999              1        0.00942  
    12          14       0.00517403              1        0.00938  
    13          15       0.00447167              1        0.00892  
    14          16       0.00387077              1        0.00693  
    15          17       0.00334458              1        0.00535  
    16          18       0.00288688              1        0.00372  
    17          19       0.00254728              1        0.00387  
    18          20        0.0022619              1        0.00356  
    19          21        0.0020214              1        0.00296  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    20          22       0.00183788              1        0.00259  
    21          23       0.00168005              1        0.00189  
    22          24       0.00153997              1        0.00278  
    23          25        0.0014217              1        0.00327  
    24          26       0.00131926              1         0.0024  
    25          27       0.00123275              1        0.00226  
    26          28       0.00116392              1        0.00146  
    27          29       0.00110303              1        0.00196  
    28          30       0.00104887              1        0.00172  
    29          31       0.00100317              1        0.00145  
    30          32      0.000962132              1        0.00113  
    31          33      0.000924425              1        0.00133  
    32          34      0.000888553              1        0.00145  
    33          35      0.000853282              1        0.00138  
    34          36      0.000821921              1        0.00129  
    35          37      0.000794522              1        0.00081  
    36          38      0.000768202              1        0.00117  
    37          39      0.000740888              1        0.00127  
    38          40      0.000712387              1        0.00145  
    39          41       0.00068531              1        0.00102  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
