test_script
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   464         470          3.81017              1          0.989  
   465         471          3.80636              1          0.815  
   466         472          3.80281              1          0.735  
   467         473          3.79894              1          0.684  
   468         474           3.7956              1          0.624  
   469         475           3.7917              1           1.47  
   470         476          3.78777              1          0.658  
   471         477          3.78269              1          0.989  
   472         478          3.77701              1           1.53  
   473         479          3.77375              1           1.55  
   474         480          3.76771              1           1.68  
   475         481          3.76276              1          0.472  
   476         482          3.75868              1          0.706  
   477         483          3.75683              1          0.676  
   478         484          3.75447              1          0.467  
   479         485          3.75177              1           0.61  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   480         486           3.7486              1           1.26  
   481         487          3.74462              1           0.57  
   482         488          3.73985              1          0.875  
   483         489          3.73694              1            1.1  
   484         490          3.73327              1           1.14  
   485         491          3.72877              1          0.748  
   486         492          3.72708              1           1.53  
   487         493          3.72433              1          0.777  
   488         494          3.72217              1          0.856  
   489         495          3.72004              1          0.745  
   490         496          3.71745              1          0.736  
   491         497          3.71557              1           1.28  
   492         498          3.71355              1          0.659  
   493         499          3.71162              1          0.866  
   494         500          3.70997              1          0.629  
   495         501          3.70853              1          0.434  
   496         502          3.70729              1          0.449  
   497         503           3.7059              1          0.477  
   498         504          3.70411              1          0.362  
   499         505          3.70195              1          0.574  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   500         506          3.69983              1           1.26  
   501         507          3.69843              1           0.94  

<a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'solver_stopped_premature','CSHelpWindow');">Solver stopped prematurely</a>.

fminunc stopped because it exceeded the iteration limit,
<a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'max_iter','CSHelpWindow');">options.MaxIter</a> = 500 (the selected value).

                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
     0           1         0.110728                         0.126
     1           3        0.0419843              2         0.0896  
     2           4        0.0331476              1         0.0966  
